filename,token,bio_tag
17803823.txt,rash,B-SYMPTOMS
17803823.txt,elbow,O
17803823.txt,ankle,O
17803823.txt,foot,O
17803823.txt,begin,O
17803823.txt,erythematous,O
17803823.txt,macule,O
17803823.txt,evolve,O
17803823.txt,vesicopustular,O
17803823.txt,lesion,O
17803823.txt,follow,O
17803823.txt,crust,O
17803823.txt,history,O
17803823.txt,sexual,O
17803823.txt,exposure,O
17803823.txt,intercurrent,O
17803823.txt,infection,B-SYMPTOMS
17803823.txt,regular,O
17803823.txt,medication,O
17803823.txt,discontinue,O
17803823.txt,pentasa,O
17803823.txt,4,O
17803823.txt,month,O
17803823.txt,early,O
17803823.txt,month,O
17803823.txt,early,O
17803823.txt,undergo,O
17803823.txt,laparotomy,O
17803823.txt,excise,O
17803823.txt,complex,O
17803823.txt,ileocutaneous,O
17803823.txt,fistula,B-SYMPTOMS
17803823.txt,blind,O
17803823.txt,tract,O
17803823.txt,week,O
17803823.txt,early,O
17803823.txt,defunctione,O
17803823.txt,ileostomy,O
17803823.txt,create,O
17803823.txt,view,O
17803823.txt,persistent,O
17803823.txt,abdominal,O
17803823.txt,pain,O
17803823.txt,cutaneous,O
17803823.txt,fistula,O
17803823.txt,present,O
17803823.txt,year,O
17803823.txt,associate,O
17803823.txt,terminal,O
17803823.txt,ileal,O
17803823.txt,stricture,B-SYMPTOMS
17803823.txt,ileorectal,O
17803823.txt,fistula,O
17803823.txt,2,O
17803823.txt,year,O
17803823.txt,duration,O
17803823.txt,bowel,O
17803823.txt,disease,O
17803823.txt,resistant,O
17803823.txt,immunosuppressive,O
17803823.txt,drug,O
17803823.txt,include,O
17803823.txt,azathioprine,O
17803823.txt,corticosteroiod,O
17803823.txt,infusion,O
17803823.txt,infliximab,O
17803823.txt,year,O
17803823.txt,early,O
17803823.txt,extraintestinal,O
17803823.txt,manifestation,O
17803823.txt,admission,O
17803823.txt,hospital,O
17803823.txt,thin,B-SYMPTOMS
17803823.txt,afebrile,B-SYMPTOMS
17803823.txt,rest,O
17803823.txt,tachycardia,B-SYMPTOMS
17803823.txt,125minute,O
17803823.txt,rest,O
17803823.txt,cardiorespiratory,O
17803823.txt,examination,O
17803823.txt,normal,O
17803823.txt,abdoman,O
17803823.txt,minimally,O
17803823.txt,tender,B-SYMPTOMS
17803823.txt,ileostomy,O
17803823.txt,guard,O
17803823.txt,rebound,O
17803823.txt,tenderness,O
17803823.txt,examination,O
17803823.txt,skin,O
17803823.txt,reveal,O
17803823.txt,pustule,O
17803823.txt,crust,O
17803823.txt,elbow,O
17803823.txt,ankle,O
17803823.txt,foot,O
17803823.txt,fig,O
17803823.txt,1,O
17803823.txt,2,O
17803823.txt,buttock,O
17803823.txt,spare,O
17803823.txt,clinical,O
17803823.txt,sign,O
17803823.txt,synovitis,B-SYMPTOMS
17803823.txt,wrist,O
17803823.txt,proximal,O
17803823.txt,interphalangeal,O
17803823.txt,metacarpophalangeal,O
17803823.txt,joint,O
17803823.txt,ankle,O
17803823.txt,result,O
17803823.txt,laboratory,O
17803823.txt,test,O
17803823.txt,show,O
17803823.txt,haemoglobin,O
17803823.txt,131,O
17803823.txt,gmdl,O
17803823.txt,white,O
17803823.txt,blood,O
17803823.txt,count,O
17803823.txt,158,O
17803823.txt,  ,O
17803823.txt,109l,O
17803823.txt,platelet,O
17803823.txt,585,O
17803823.txt,  ,O
17803823.txt,109l,O
17803823.txt,c,O
17803823.txt,reactive,O
17803823.txt,protein,O
17803823.txt,377,O
17803823.txt,mgl,O
17803823.txt,erythrocyte,O
17803823.txt,sedimentation,O
17803823.txt,rate,O
17803823.txt,69,O
17803823.txt,mmhr,O
17803823.txt,urea,O
17803823.txt,electrolyte,O
17803823.txt,complement,O
17803823.txt,urine,O
17803823.txt,analysis,O
17803823.txt,microscopy,O
17803823.txt,normal,O
17803823.txt,rheumatoid,O
17803823.txt,factor,O
17803823.txt,antinuclear,O
17803823.txt,antineutrophil,O
17803823.txt,cytoplasmic,O
17803823.txt,antibodie,O
17803823.txt,cryoglobulin,O
17803823.txt,hepatitis,O
17803823.txt,b,O
17803823.txt,c,O
17803823.txt,serology,O
17803823.txt,negative,O
17803823.txt,transthoracic,O
17803823.txt,echocardiogram,O
17803823.txt,show,O
17803823.txt,sign,O
17803823.txt,endocarditis,O
17803823.txt,multiple,O
17803823.txt,blood,O
17803823.txt,culture,O
17803823.txt,sterile,O
17803823.txt,skin,O
17803823.txt,biopsy,O
17803823.txt,ankle,O
17803823.txt,reveal,O
17803823.txt,perivascular,O
17803823.txt,lymphohistiocytic,O
17803823.txt,infiltrate,O
17803823.txt,prominent,O
17803823.txt,neutrophil,O
17803823.txt,associate,O
17803823.txt,fibrinoid,O
17803823.txt,necrosis,B-SYMPTOMS
17803823.txt,vessel,O
17803823.txt,consistent,O
17803823.txt,leukocytoclastic,O
17803823.txt,vasculitis,B-DISEASE
17803823.txt,commence,O
17803823.txt,60,O
17803823.txt,mg,O
17803823.txt,prednisolone,O
17803823.txt,day,O
17803823.txt,lead,O
17803823.txt,prompt,O
17803823.txt,complete,O
17803823.txt,resolution,O
17803823.txt,feature,O
17803823.txt,dose,O
17803823.txt,prednisolone,O
17803823.txt,rapidly,O
17803823.txt,taper,O
17803823.txt,course,O
17803823.txt,month,O
17803823.txt,patient,O
17803823.txt,fast,O
17803823.txt,advise,O
17803823.txt,recurrence,O
17803823.txt,follow,O
17803823.txt,3,O
17803823.txt,year,O
18236639.txt,30yearold,O
18236639.txt,female,B-SEX
18236639.txt,65,O
18236639.txt,kg,O
18236639.txt,undergo,O
18236639.txt,rhinoplasty,O
18236639.txt,general,O
18236639.txt,anaesthesia,O
18236639.txt,induce,O
18236639.txt,combination,O
18236639.txt,bolus,O
18236639.txt,remifentanyl,O
18236639.txt,05,O
18236639.txt,gkg,O
18236639.txt,propofol,O
18236639.txt,2,O
18236639.txt,mgkg,O
18236639.txt,muscle,B-DISEASE
18236639.txt,paralysis,B-DISEASE
18236639.txt,obtain,O
18236639.txt,cisatracurium,O
18236639.txt,015,O
18236639.txt,gkg,O
18236639.txt,transoral,O
18236639.txt,intubation,O
18236639.txt,perform,O
18236639.txt,macintosh,O
18236639.txt,blade,O
18236639.txt,no3,O
18236639.txt,size,O
18236639.txt,7,O
18236639.txt,mm,O
18236639.txt,diameter,O
18236639.txt,reinforce,O
18236639.txt,tracheal,O
18236639.txt,tube,O
18236639.txt,easily,O
18236639.txt,gently,O
18236639.txt,place,O
18236639.txt,trachea,O
18236639.txt,attempt,O
18236639.txt,fix,O
18236639.txt,right,O
18236639.txt,corner,O
18236639.txt,mouth,O
18236639.txt,problem,O
18236639.txt,encounter,O
18236639.txt,laryngoscopy,O
18236639.txt,intubation,O
18236639.txt,cuff,O
18236639.txt,tube,O
18236639.txt,inflate,O
18236639.txt,pressure,O
18236639.txt,  ,O
18236639.txt,20,O
18236639.txt,cm,O
18236639.txt,h2o,O
18236639.txt,adjustment,O
18236639.txt,cuff,O
18236639.txt,volume,O
18236639.txt,intraoperatively,O
18236639.txt,n2o,O
18236639.txt,inhalation,O
18236639.txt,anaesthesia,O
18236639.txt,throat,O
18236639.txt,pack,O
18236639.txt,place,O
18236639.txt,pharynx,O
18236639.txt,avoid,O
18236639.txt,passage,O
18236639.txt,blood,O
18236639.txt,aerodigestive,O
18236639.txt,tract,O
18236639.txt,general,O
18236639.txt,anaesthesia,O
18236639.txt,maintain,O
18236639.txt,sevofluorane,O
18236639.txt,oxygenair,O
18236639.txt,remifentanyl,O
18236639.txt,continuous,O
18236639.txt,infusion,O
18236639.txt,025,O
18236639.txt,gkgmin,O
18236639.txt,moderate,O
18236639.txt,arterial,B-SYMPTOMS
18236639.txt,hypotension,I-SYMPTOMS
18236639.txt,maintain,O
18236639.txt,cuff,O
18236639.txt,systolic,O
18236639.txt,artery,O
18236639.txt,pressure,O
18236639.txt,approximately,O
18236639.txt,90,O
18236639.txt,mmhg,O
18236639.txt,operation,O
18236639.txt,carry,O
18236639.txt,semisupine,O
18236639.txt,position,O
18236639.txt,head,O
18236639.txt,slightly,O
18236639.txt,incline,O
18236639.txt,forward,O
18236639.txt,laterally,O
18236639.txt,trunk,O
18236639.txt,slightly,O
18236639.txt,elevated,O
18236639.txt,duration,O
18236639.txt,operation,O
18236639.txt,100,O
18236639.txt,minute,O
18236639.txt,patient,O
18236639.txt,extubate,O
18236639.txt,removal,O
18236639.txt,throat,O
18236639.txt,pack,O
18236639.txt,problem,O
18236639.txt,follow,O
18236639.txt,day,O
18236639.txt,patient,O
18236639.txt,complain,O
18236639.txt,difficulty,O
18236639.txt,swallow,O
18236639.txt,dysphonia,B-SYMPTOMS
18236639.txt,hoarseness,B-SYMPTOMS
18236639.txt,examination,O
18236639.txt,reveal,O
18236639.txt,deviation,B-SYMPTOMS
18236639.txt,tongue,O
18236639.txt,right,O
18236639.txt,vocal,O
18236639.txt,cord,O
18236639.txt,paralysis,O
18236639.txt,expression,O
18236639.txt,hypoglossal,O
18236639.txt,recurrent,O
18236639.txt,laryngeal,O
18236639.txt,nerve,B-DISEASE
18236639.txt,injury,I-DISEASE
18236639.txt,local,O
18236639.txt,oedema,B-SYMPTOMS
18236639.txt,haematoma,B-SYMPTOMS
18236639.txt,movement,O
18236639.txt,pharynx,O
18236639.txt,soft,O
18236639.txt,palate,O
18236639.txt,normal,O
18236639.txt,meticulous,O
18236639.txt,neurological,O
18236639.txt,examination,O
18236639.txt,include,O
18236639.txt,magnetic,O
18236639.txt,resonance,O
18236639.txt,imaging,O
18236639.txt,mrn,O
18236639.txt,reveal,O
18236639.txt,evidence,O
18236639.txt,central,O
18236639.txt,cranial,O
18236639.txt,nerve,B-SYMPTOMS
18236639.txt,involvement,I-SYMPTOMS
18236639.txt,conservative,O
18236639.txt,management,O
18236639.txt,include,O
18236639.txt,steroid,O
18236639.txt,vitamin,O
18236639.txt,speech,O
18236639.txt,swallow,O
18236639.txt,therapy,O
18236639.txt,recovery,O
18236639.txt,lingual,O
18236639.txt,laryngeal,O
18236639.txt,function,O
18236639.txt,obtain,O
18236639.txt,month,O
18236639.txt,surgery,O
18258107.txt,describe,O
18258107.txt,case,O
18258107.txt,60yearold,O
18258107.txt,man,B-SEX
18258107.txt,san,O
18258107.txt,francisco,O
18258107.txt,consume,O
18258107.txt,raw,O
18258107.txt,pork,O
18258107.txt,travel,O
18258107.txt,philippine,O
18258107.txt,june,O
18258107.txt,2003,O
18258107.txt,man,O
18258107.txt,ill,B-SYMPTOMS
18258107.txt,fever,B-SYMPTOMS
18258107.txt,diaphoresis,B-SYMPTOMS
18258107.txt,headache,B-SYMPTOMS
18258107.txt,nausea,B-SYMPTOMS
18258107.txt,anorexia,B-SYMPTOMS
18258107.txt,return,O
18258107.txt,7month,O
18258107.txt,vacation,O
18258107.txt,philippine,O
18258107.txt,day,O
18258107.txt,symptom,O
18258107.txt,onset,O
18258107.txt,physician,O
18258107.txt,prescribe,O
18258107.txt,doxycycline,O
18258107.txt,symptom,O
18258107.txt,continue,O
18258107.txt,admit,O
18258107.txt,local,O
18258107.txt,hospital,O
18258107.txt,5,O
18258107.txt,day,O
18258107.txt,later,O
18258107.txt,fever,O
18258107.txt,389c,O
18258107.txt,nuchal,B-SYMPTOMS
18258107.txt,rigidity,I-SYMPTOMS
18258107.txt,headache,O
18258107.txt,general,O
18258107.txt,malaise,B-SYMPTOMS
18258107.txt,patient,O
18258107.txt,describe,O
18258107.txt,recent,O
18258107.txt,contact,O
18258107.txt,sick,O
18258107.txt,person,O
18258107.txt,past,O
18258107.txt,medical,O
18258107.txt,history,O
18258107.txt,unremarkable,O
18258107.txt,physical,O
18258107.txt,examination,O
18258107.txt,somnolent,B-SYMPTOMS
18258107.txt,fully,O
18258107.txt,orient,O
18258107.txt,focal,O
18258107.txt,finding,O
18258107.txt,neurologic,O
18258107.txt,examination,O
18258107.txt,slight,O
18258107.txt,nuchal,O
18258107.txt,rigidity,O
18258107.txt,leukocyte,O
18258107.txt,count,O
18258107.txt,21000mm3,O
18258107.txt,include,O
18258107.txt,16400mm3,O
18258107.txt,neutrophil,O
18258107.txt,cerebrospinal,O
18258107.txt,fluid,O
18258107.txt,csf,O
18258107.txt,show,O
18258107.txt,leukocyte,O
18258107.txt,count,O
18258107.txt,487l,O
18258107.txt,80,O
18258107.txt,polymorphonuclear,O
18258107.txt,cell,O
18258107.txt,18,O
18258107.txt,lymphocyte,O
18258107.txt,glucose,O
18258107.txt,protein,O
18258107.txt,level,O
18258107.txt,20,O
18258107.txt,mgdl,O
18258107.txt,167,O
18258107.txt,mgdl,O
18258107.txt,respectively,O
18258107.txt,gram,O
18258107.txt,stain,O
18258107.txt,csf,O
18258107.txt,show,O
18258107.txt,grampositive,O
18258107.txt,cocci,O
18258107.txt,pair,O
18258107.txt,figure,O
18258107.txt,empiric,O
18258107.txt,therapy,O
18258107.txt,ceftriaxone,B-SYMPTOMS
18258107.txt,vancomycin,O
18258107.txt,ampicillin,O
18258107.txt,bacterial,B-DISEASE
18258107.txt,meningitis,I-DISEASE
18258107.txt,begin,O
18258107.txt,compute,O
18258107.txt,tomographic,O
18258107.txt,scan,O
18258107.txt,head,O
18258107.txt,show,O
18258107.txt,sinusitis,B-SYMPTOMS
18258107.txt,finding,O
18258107.txt,chest,O
18258107.txt,radiograph,O
18258107.txt,transesophageal,O
18258107.txt,echocardiogram,O
18258107.txt,negative,O
18258107.txt,hospital,O
18258107.txt,day,O
18258107.txt,2,O
18258107.txt,blood,O
18258107.txt,culture,O
18258107.txt,grow,O
18258107.txt,grampositive,O
18258107.txt,cocci,O
18258107.txt,pair,O
18258107.txt,chain,O
18258107.txt,organism,B-SYMPTOMS
18258107.txt,catalasenegative,O
18258107.txt,bile,O
18258107.txt,esculinnegative,O
18258107.txt,pyrrolidonyl,O
18258107.txt,aminopeptidasenegative,O
18258107.txt,consistent,O
18258107.txt,streptococcus,B-SYMPTOMS
18258107.txt,spp,I-SYMPTOMS
18258107.txt,latex,O
18258107.txt,agglutination,O
18258107.txt,test,O
18258107.txt,detect,O
18258107.txt,streptococcus,B-SYMPTOMS
18258107.txt,pneumoniae,I-SYMPTOMS
18258107.txt,antigen,I-SYMPTOMS
18258107.txt,antimicrobial,O
18258107.txt,susceptibility,O
18258107.txt,testing,O
18258107.txt,show,O
18258107.txt,isolate,O
18258107.txt,sensitive,O
18258107.txt,penicillin,O
18258107.txt,mic,O
18258107.txt,  ,O
18258107.txt,003,O
18258107.txt,ceftriaxone,O
18258107.txt,vancomycin,O
18258107.txt,resistant,O
18258107.txt,tetracycline,O
18258107.txt,clindamycin,O
18258107.txt,antimicrobial,O
18258107.txt,therapy,O
18258107.txt,change,O
18258107.txt,penicillin,O
18258107.txt,g,O
18258107.txt,24,O
18258107.txt,million,O
18258107.txt,unit,O
18258107.txt,intravenously,O
18258107.txt,day,O
18258107.txt,hospital,O
18258107.txt,day,O
18258107.txt,5,O
18258107.txt,patient,O
18258107.txt,complain,O
18258107.txt,hear,O
18258107.txt,loss,O
18258107.txt,left,O
18258107.txt,ear,O
18258107.txt,result,O
18258107.txt,nasopharyngeal,O
18258107.txt,endoscopy,O
18258107.txt,negative,O
18258107.txt,hospital,O
18258107.txt,day,O
18258107.txt,7,O
18258107.txt,organism,O
18258107.txt,identify,O
18258107.txt,api,O
18258107.txt,20,O
18258107.txt,strep,O
18258107.txt,system,O
18258107.txt,biomerieux,O
18258107.txt,marcy,O
18258107.txt,letoile,O
18258107.txt,france,O
18258107.txt,s,O
18258107.txt,suis,O
18258107.txt,serotype,O
18258107.txt,2,O
18258107.txt,patient,O
18258107.txt,subsequently,O
18258107.txt,state,O
18258107.txt,butcher,O
18258107.txt,culinary,O
18258107.txt,preference,O
18258107.txt,partially,O
18258107.txt,cook,O
18258107.txt,pork,O
18258107.txt,eat,O
18258107.txt,philippine,O
18258107.txt,week,O
18258107.txt,prior,O
18258107.txt,onset,O
18258107.txt,symptom,O
18258107.txt,hospital,O
18258107.txt,day,O
18258107.txt,9,O
18258107.txt,formal,O
18258107.txt,audiology,O
18258107.txt,evaluation,O
18258107.txt,show,O
18258107.txt,severe,O
18258107.txt,bilateral,O
18258107.txt,sensorineural,O
18258107.txt,highfrequency,O
18258107.txt,hearing,B-SYMPTOMS
18258107.txt,loss,I-SYMPTOMS
18258107.txt,70,O
18258107.txt,db,O
18258107.txt,patient,O
18258107.txt,complete,O
18258107.txt,10day,O
18258107.txt,course,O
18258107.txt,parenteral,O
18258107.txt,antimicrobial,O
18258107.txt,drug,O
18258107.txt,discharge,O
18258107.txt,continue,O
18258107.txt,oral,O
18258107.txt,therapy,O
18258107.txt,close,O
18258107.txt,followup,O
18258107.txt,month,O
18258107.txt,discharge,O
18258107.txt,patient,O
18258107.txt,report,O
18258107.txt,improved,O
18258107.txt,hearing,O
18258107.txt,sequelae,B-SYMPTOMS
18416479.txt,74yearold,O
18416479.txt,man,B-SEX
18416479.txt,refer,O
18416479.txt,hospital,O
18416479.txt,november,O
18416479.txt,2000,O
18416479.txt,liver,B-SYMPTOMS
18416479.txt,dysfunction,I-SYMPTOMS
18416479.txt,detect,O
18416479.txt,medical,O
18416479.txt,checkup,O
18416479.txt,patient,O
18416479.txt,diagnose,O
18416479.txt,nephrotic,B-DISEASE
18416479.txt,syndrome,I-DISEASE
18416479.txt,1995,O
18416479.txt,laboratory,O
18416479.txt,examination,O
